Timestamp,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5
12/9/2016 13:21:27,Adele 25,David Bowie black star,Seay In the Garden (New age),Radiohead,Yo Yo Ma
12/5/2016 15:11:41,David Bowie - 'Blackstar',Case/Lang/Veirs - 'Case/Lang/Veirs',Anohni - 'Hopelessness',Radiohead - 'A Moon Shaped Pool',Shura - 'Nothing's Real'
12/12/2016 11:47:05,Frightened Rabbit - Painting of a Panic Attack,Michael Kiwanuka - Love & Hate,Augustines - This Is Your Life,Radiohead - A Moon Shaped Pool,Shearwater - Jet Plane & Oxbow
12/6/2016 17:40:32,Beyoncé - Lemonade,Paul Simon - Stranger To Stranger,Prince - 4Ever,Radiohead - A Moon Shaped Pool,Leonard Cohen - You Want It Darker
12/6/2016 18:21:02,Parquet Courts - Human Performance,David Bowie - Black Star,Sturgil Simpson - A Sailors Guide to Earth,Radiohead - A moon shaped pool,Fruit Bats - Absolute Loser
12/5/2016 19:23:02,Anderson Paak - Malibu,Sturgill Simpson - A Sailor's Guide to Earth,Whitney - Light Upon the Lake,Radiohead - A Moon Shaped Pool,Leonard Cohen - You Want it Darker
12/7/2016 15:57:07,"David Bowie ,Black Star ","Leonard Cohen, You want it Darker"," Beyonce, Lemonade ","Radiohead ,A moon shaped pool","Paul Simon, Wristband  "
12/11/2016 21:16:28,Goat Requiem,Gonjasufi -Callus,David Bowie Black Star,Radiohead A Moon Shaped Pool,Rihanna Anti
12/6/2016 13:57:56,Bon Iver 22 a million ,Drive By truckers American Band ,The Dexateens Teenage hallelujah,Radiohead A moon shaped pool,Conor Oberst ruminations 
12/8/2016 8:08:55,David bowie blackstar,Birdeatsbaby tanta furia,Opeth sorceress,Radiohead moon shaped pool,Meshuggah violent sleep of reason
12/11/2016 10:39:44,The Claypool Lennon Delirium Monolith of Phobos,David Bowie Black Star,Rihanna Anti,Radiohead Moon Shaped Pool,A Tribe Called Quest We got it from here thank you for your service
12/5/2016 15:14:59,"Abra, ""Princess""","Solange, ""A Seat at the Table""","Kyle Dixon & Michael Stein, ""Stranger Things"" (Vol. 1 & 2)","Radiohead, ""A Moon Shaped Pool""","Jóhann Jóhannsson, ""Arrival"""
12/5/2016 14:41:06,"Anderson .Paak, Malibu","Chance the Rapper, Coloring Book"," Bon Iver, 22 A Million","Radiohead, A Moon Shaped Pool","Avalanches, Wildflower"
12/6/2016 14:02:31,"Savages, Adore Life","Jeff Buckley, You and I"," Nick Cave & The Bad Seeds, Skeleton Tree","Radiohead, A Moon Shaped Pool",
12/5/2016 14:36:30,"Frank Ocean, Blonde","Car Seat Headrest, Teens of Denial","A Tribe Called Quest, We got it from Here...Thank You 4 Your service","Radiohead, A Moon Shaped Pool","David Bowie, Blackstar"
12/10/2016 15:48:29,"Paul Simon, Stranger to Stranger","David Bowie, Blackstar","A Tribe Called Quest,We Got It From Here...Thank You 4 Your Service","Radiohead, A Moon Shaped Pool","Pinegrove, Cardinal"
12/5/2016 16:27:56,"Parker Millsaps, THE VERY LAST DAY","Drive By Truckers, AMERICAN BAND","Amanda Shires, MY PIECE OF LAND","Radiohead, A MOON SHAPED POOL","Green Day, REVOLUTION RADIO "
12/5/2016 14:45:17,"David Bowie, Blackstar","Chance the Rapper, Coloring Book","Anderson .Paak, Malibu","Radiohead, A Moon Shaped Pool","Kendrick Lamar, untitled unmastered."
12/5/2016 16:23:09,"Pinegrove, Cardinal","Kaytranada, 99.9%","Anderson .Paak, Malibu","Radiohead, A Moon Shaped Pool","Chance The Rapper, Coloring Book"
12/12/2016 10:53:50,"Vulfpeck, The Beautiful Game","PUP, The Dream is Over","Anderson .Paak, Malibu","Radiohead, A Moon Shaped Pool","Lemonade, Beyonce"
12/8/2016 13:51:19,"Beyoncé, Lemonade","Wilco, Schmilco","Anderson .Paak, Malibu","Radiohead, A Moon Shaped Pool","L.A. Salami, Dancing With Bad Grammar"
12/9/2016 13:07:24,"Bon Iver, 22, A Million","The Head & The Heart, Signs of Light","Andrew Bird, Are You Serious","Radiohead, A Moon Shaped Pool","Margaret Glaspy, Emotions & Math"
12/10/2016 23:46:32,"David Bowie, Blackstar","Wilco, Schmilco","Angel Olsen, My Woman","Radiohead, A Moon Shaped Pool","Chance the Rapper, Coloring Book"
12/7/2016 23:41:08,"Beyonce, lemonade","David Bowie, Blackstar","Anohni, Hopelessness","Radiohead, A Moon Shaped Pool","Bon Ivor, 22, A Million"
12/5/2016 12:52:25,"Pup, The Dream is Over","Kanye West, The Life Of Pablo","Barbarisms, Browser","Radiohead, A Moon Shaped Pool","What Moon Things, the SWIM tape"
12/12/2016 9:06:43,"Bon Iver, 22, A Million","Blackstar, David Bowie","Beyonce, Lemonade","Radiohead, A Moon Shaped Pool","Car Seat Headrest, Teens of Denial"
12/5/2016 21:40:28,"Vulfpeck, The Beautiful Game","A Tribe Called Quest, We Got it From Here","Beyoncé, Lemonade","Radiohead, A Moon Shaped Pool","Wilco, Shmilco"
12/7/2016 7:21:28,"Frank Ocean, Blonde","Sturgill Simpson, A Sailor's Guide to Earth","Beyoncé, Lemonade ","Radiohead, A Moon Shaped Pool","Chance the Rapper, Coloring Book"
12/5/2016 14:49:25,"Chance the Rapper, Coloring Book","Car Seat Headrest, Teens of Denial","Big Thief, Masterpiece","Radiohead, A Moon Shaped Pool","Solange, A Seat at the Table"
12/7/2016 15:56:49,"David Bowie, Black Star","Leonard Cohen, You Want It Darker","Bill Ryder-Jones, West Kirby County Primary","Radiohead, A Moon Shaped Pool","Ryley Walker, Golden Sings That Have Been Sung"
12/9/2016 16:35:44,"Angel Olsen, My Woman","BadBadNotGood, IV","Bon Iver, 22 A Million","Radiohead, A Moon Shaped Pool","Elza Soares, A Mulher do Fim do Mundo"
12/6/2016 3:34:47,"Anohni, Hopelesness","Beyoncé, Lemonade","Bon Iver, 22 A Million","Radiohead, A Moon Shaped Pool","Frank Ocean, Blonde"
12/6/2016 16:20:54,"Car Seat Headrest, Teens of Denial","AJJ, The Bible 2","Bon Iver, 22, A Million","Radiohead, A Moon Shaped Pool","David Bowie, Blackstar"
12/9/2016 13:03:59,"Chance The Rapper, Coloring Book","Beyonce, Lemonade","Bon Iver, 22, a million","Radiohead, A Moon Shaped Pool","Car Seat Headrest, Teens of Denial"
12/7/2016 22:03:13,"Chance the Rapper, Coloring Book","Frank Ocean, Blonde","Car Seat Headrest, Teens of Denial","Radiohead, A Moon Shaped Pool","Angel Olsen, My Woman"
12/5/2016 14:36:58,"David Bowie, Blackstar ","Leonard Cohen, You want it Darker","Carseat Headrest, Teens of Denial","Radiohead, A moon shaped pool","Anderson Paak, Malibu"
12/6/2016 23:30:13,"Anderson .Paak, Malibu","David Bowie, Black Star","Chance The Rapper, Coloring Boo","Radiohead, A Moon Shaped Pool","Bon Iver, 22, A Million"
12/6/2016 15:32:04,"Bon Iver, 22, A Million","Glass Animals, How to Be a Human Being","Corinne Bailey Rae, The Heart Speaks in Whispers","Radiohead, A Moon Shaped Pool","David Bowie, Blackstar"
12/6/2016 20:02:30,"Carseat Headrest, Teens of Denial","Kyle Morton, What Will Destroy You","D.D. Dumbo, Utopia Defeated","Radiohead, A Moon Shaped Pool","Haley Bonar, Impossible Dream"
12/5/2016 15:51:48,"Ryan Keberle & Catharsis, Azul Infinito","David Bowie, Blackstar","Darcy James Argue's Secret Society, Real Enemies","Radiohead, A Moon Shaped Pool",
12/5/2016 19:26:46,"Parquet Courts, Human Performance","Car Seat Headrest, Teens of Denial","David Bowie, Blackstar","Radiohead, A Moon Shaped Pool","Nick Cave and the Bad Seeds, Skeleton Tree"
12/12/2016 8:40:34,"The Avalanches, Wildflower","Frank Ocean, Blonde","David Bowie, Blackstar","Radiohead, A Moon Shaped Pool","Kendrick Lamar, untitled unmastered."
12/5/2016 13:41:53,"Marillion, FEAR","The Posies, Solid States","Dinosaur Jr, Give A Glimpse Of What Yer Not","Radiohead, A Moon Shaped Pool","Metallica, Hardwired... To Self Destruct"
12/6/2016 19:31:59,"Beyonce, Lemonade","Bon Iver, 22 A Million","Frank Ocean, Blonde","Radiohead, A Moon Shaped Pool","Fruit Bats, Absolute Loser"
12/9/2016 19:25:19,"M83, Junk","Bon iver, 22, A million","Jacob Collier, in my room","Radiohead, a moon shaped pool","The rajasthan express, junun"
12/5/2016 14:40:42,"Darlingside, Birds Say","Bon Iver, 22 A Million","James Blake, The Colour In Anything","Radiohead, A Moon Shaped Pool","Chance the Rapper, Coloring Book"
12/7/2016 3:21:32,"Anderson .Paak, Malibu","Martin Phipps, War & Peace OST","Junior Boys, Big Black Coat","Radiohead, A Moon Shaped Pool","Anna Meredith, Varmints"
12/5/2016 17:34:09,"Beyonce, Lemonade","A Tribe Called Quest, We got it from Here","Kendrick Lamar, untitled unmastered","Radiohead, A Moon Shaped Pool","The Weeknd, Starboy"
12/6/2016 14:40:58,"A Tribe Called Quest, We Got It From Here...Thank You For Your Service","Kaytranada, 99.9%","Kevin Morby, Singing Saw","Radiohead, A Moon Shaped Pool","Africaine 808, Ngoni"
12/9/2016 13:59:20,"A Tribe Called Quest, We Got It From Here...Thank You For Your Service","Kaytranada, 99.9%","Kevin Morby, Singing Saw","Radiohead, A Moon Shaped Pool","Leonard Cohen, You Want It Darker"
12/6/2016 2:57:41,"Wilco, Schmilco","Parquet Courts, Human Performance","Kishi Bashi, Sonderlust","Radiohead, A Moon Shaped Pool","The Jayhawks, Paging Mr. Proust"
12/6/2016 3:50:22,"David Bowie, Blackstar","Nick Cave and the Bad Seeds, Skeleton Tree","Leonard Cohen, You Want It Darker","Radiohead, A moon shaped pool","Julian Lage, Arclight"
12/8/2016 3:23:45,"Nick Cave, Skeleton Tree","She Makes War, Direction Of Travel","Lucius, Good Grief ","Radiohead, A Moon Shaped Pool","David Bowie, Black Star"
12/5/2016 13:36:08,"Majid Jordan, Majid Jordan","Zayn, Mind of Mine","M.I.A, AIM","Radiohead, A Moon Shaped Pool","The Weeknd, Starboy"
12/6/2016 2:12:37,"Bon Iver, 22 a Million","James Blake, The Colour in Anything","Margo Price, Midwest Farmers Daughter ","Radiohead, A Moon Shaped Pool","David Bowle, Blackstar"
12/6/2016 0:52:36,"Mitski, Puberty 2","Car Seat Headrest, Teens of Denial ","Nicolas Jaar, Sirens","Radiohead, A Moon Shaped Pool","Blood Orange, Freetown Sound"
12/9/2016 9:22:13,"David Bowie, Blackstar","Leonard Cohen, You want it Darker","Paul Simon, Stranger to Stranger","Radiohead, A Moon Shaped Pool","Wilco, Schmilco"
12/6/2016 21:08:43,"Childish Gambino, Awaken My Love!","David Bowie, Blackstar","Red Hot Chili Peppers, The Getaway","Radiohead, A moon Shaped Pool","The Rolling Stones, Blue and Lonesome "
12/6/2016 22:41:41,"Wilco, Schmilco","Bob Mould, Patch the Sky","Rolling Stones, Blue and Lonesome ","Radiohead, A Moon Shaped Pool","Foxygen, Hang"
12/5/2016 15:27:29,"Strfkr, a","Air Traffic Controller, Black Box","Saint Motel, Saintmotelevision","Radiohead, A Moon Shaped Pool","Weezer, Weezer (White album)"
12/5/2016 15:29:15,"Strfkr, Being No One Going No Where","Air Traffic Controller, Black Box","Saint Motel, Saintmotelevision","Radiohead, A Moon Shaped Pool","Weezer, Weezer (White Album)"
12/9/2016 14:48:54,"Car Seat Headrest, Teens of Denial","Glen Phillips, Swallowed by the New","Sia, This is Acting","Radiohead, A Moon Shaped Pool","Wussy, Forever Sounds"
12/6/2016 5:09:11,"Esperanza Spalding, Emily's D+Evolution","Kanye West, Life of Pablo","Solange, A Seat at the Table","Radiohead, A Moon Shaped Pool","Frank Ocean, Blond"
12/5/2016 14:38:59,"David Bowie, Blackstar","Kanye West, The Life of Pablo","Solange, A Seat at the Table","Radiohead, A Moon Shaped Pool","Danny Brown, Atrocity Exhibition"
12/5/2016 21:13:27,"David Bowie, Blackstar","A Tribe Called Quest, We Got It From Here... Thank You 4 Your Service","Sturgill Simpson, A Sailor's Guide To Earth","Radiohead, A Moon Shaped Pool","Iggy Pop, Post Pop Depression"
12/6/2016 18:53:57,"Agnes Obelisk, Citizen of Glass","Sturgill Simpson, A Sailor's Guide to Earth","The Record Company, Give It Back to You","Radiohead, A Moon Shaped Pool","Non Iver, 22, A Million"
12/8/2016 1:13:48,"Frightened Rabbit, Painting of a Panic Attack","Nothing, Tired of Tomorrow","Vanessa Peters, The Burden of Unshakeable Proof","Radiohead, A Moon Shaped Pool","Gordi, Clever Disguise EP"
12/5/2016 7:54:56,"Ry X, Dawn","Greg Laswell, Everyone Thinks I Dodged A Bullet","Weezer, White Album","Radiohead, A Moon Shaped Pool","Wilco, Schmilco"
12/5/2016 7:31:50,"Beyonce, Lemonade","Car Seat Headrest, Teens Of Denial","Wilco, Schmilco","Radiohead, A Moon Shaped Pool","Bon Iver, 22, A Million"
12/6/2016 4:15:51,"P. J. Harvey, Hope Six Demolition Project","Nick Cave, Skeleton Tree","Wilco, Schmilco","Radiohead, A moon shaped pool","Savages, Adore life"
12/11/2016 15:59:55,"Pinegrove, Cardinal","Whitney, Light Upon The Lake","William Tyler, Modern Country","Radiohead, A Moon Shaped Pool","Bon Iver, 22, A Million"
12/6/2016 9:51:16,"David Bowie, Blackstar","Bon Iver, 22 a Million","Wolf Parade, EP 4","Radiohead, A Moon Shaped Pool","Weezer, Weezer (White Album)"
12/6/2016 7:14:43,"Anderson paak, malibu","Bon iver, 22 a million","Young thug, Jeffery ","Radiohead, a moon shaped pool","Anohni, hopelessness "
12/5/2016 21:36:50,"Sturgill Simpson, A Sailor's Guide to Earth","Chance the Rapper, Coloring Book",Solange A Seat at the Table,"Radiohead, A Moon-Shaped Pool",
12/6/2016 1:58:36,"Radiohead, AMSP","Radiohead, AMSP","Radiohead, AMSP","Radiohead, AMSP","Radiohead, AMSP"
12/9/2016 20:33:40,"bob weir, blue mountain ","King Gizzard and the Lizard Wizard, nonagon infinity ","Claypool Lennon Delirium, monolith of phobos","radiohead, moon shaped pool","Leonard Cohen, you want it darker"
12/5/2016 16:15:04,"A Tribe Called Quest, Thank You...","Blood Orange, Freetown Sound","David Bowie, Black Star","Radiohead, Moon Shaped Pool","Frank Ocean, Blonde"
12/12/2016 12:18:54,"Leonard Cohen, You want it darker ","Fantastic Negrito, The Last Days of Oakland","David Bowie, Blackstar","Radiohead, Moon Shaped Pool","Wilco, Wilco Smilco"
12/8/2016 19:03:55,"Chris Staples, Golden Age","Chance the Rapper, Coloring Book","Ry X, Dawn","Radiohead, Moon Shaped Pool",
12/5/2016 18:30:30,"Car seat Headrest, teen denial","Chance the rapper, chance 3","Sturgill Simpson, a sailors guide to earth ","Radiohead, moon shaped pool","Wilco, Shmilco"
12/5/2016 14:29:01,"Anderson .Paak, Malibu","Bon Iver, 22 A Million","Weezer, Weezer","Radiohead, Moon shaped pool","James Blake, Color in Anything"
12/6/2016 7:13:20,"beyonce,Lemonade","Solange,A seat at the table","Car seat headrest,Teens of denial","Radiohead,A moon shaped pool","Mitski,Puberty 2"
12/7/2016 10:57:27,Lambchop: Flotus,"Bon Iver: 22, A Million",David Bowie: Black Star,Radiohead: A Moon Shaped Pool,Weyes Blodd: Front Row Seat
12/5/2016 18:59:24,"Beyonce, Lemonade","Zayn, Mind of Mine","Rihanna, Anti","Rae Shrummerd, ShremmLife2","Kanye West, The Life of Pablo"
12/5/2016 19:25:20,"Zayn, mind of mine ","Beyoncé, lemonade ","Solange, a seat at the table ","Raleigh Ritchie, you're a man now, boy","Carly Rae Jepsen, emotion side b "
12/5/2016 14:24:24,"Lucy Dacus, No Burden","Margo Price, Midwest Farmer's Daughter","Sia, This is Acting","Ray LaMontagne, Oroboros","Margaret Glaspy, Emotions and Math"
12/6/2016 14:53:01,"Dawes, We're All Gonna Die","A Tribe Called Quest, We got it from Here... Thank You 4 Your Service","Bon Iver, 22, A Million","Ray LaMontagne, Ouroboros","Chance the Rapper, Coloring Book"
12/5/2016 19:21:20,"Beyoncé, Lemonade","Solange, A Seat at the Table","Bon Iver, 22, A Million","Ray LaMontagne, Ouroboros","Case/Lang/Veirs, Case/Lang/Veirs"
12/6/2016 12:22:28,"Red Hot Chili Peppers, The Getaway","Rihanna, ANTI","Esperanza Spalding, Emily's D+Evolution","Ray Lamontagne, Ouroboros","Radiohead, Moon Shaped Pool"
12/5/2016 14:18:24,"David Bowie, Blackstar","James Blake, The Colour in Anything","M83, Junk","Ray Lamontagne, Ouroboros","Kishi Bashi, Sonderlust"
12/5/2016 20:14:22,"Lucius, Good Grief","Radiohead, A Moon Shaped Pool","Margaret Glaspy, Emotions and Math","Ray LaMontagne, Ouroboros","Sturgill Simpson, A Sailor's Guide to Earth"
12/5/2016 18:33:18,"Streetlight Circus, Needle Down ","Lady GaGa, Joanne","Radiohead, A Moon shaped Pool","Ray Lamontagne, Ouroboros",Bon Iver 22 to a million 
12/10/2016 13:24:32,"Elephant Revival, Petals","David Bowie, Blackstar","Wye Oak, Tween","Ray Lamontagne, Ouroboros","Radiohead, A Moon Shaped Pool"
12/5/2016 14:40:24,"Sturgill Simpson, A Sailor's Guide to Earth ","Wilco, Schmilco","Sara Watkins, Young In All the Wrong Ways","Ray Lamontagne, Ouroboros ","Margo Price, Midwest Farmer's Daughter "
12/7/2016 14:35:46,"Fantastic Negrito, The Last Days of Oakland","The Marcus King Band, The Marcus King Band","Colin Stetson, Sorrow","Ray LaMontagne, Ourobouros","Yorkston/Thorne/Khan, Everything Sacred"
12/5/2016 21:32:10,"the posies, solid states","jennifer nettles, that girl","kristian bush, southern gravity","reba, love someone","the posies, solid states"
12/6/2016 7:43:12,"Thrice, To Be Everywhere is to Be Nowhere","Stick Figure, Set in Stone","Tiger Army, V","Rebelution, Falling into Place","NOFX, First Ditch Effort"
12/6/2016 7:45:24,"Ryan Keberle and Catharsis, Azul Infinito "," Dmitri Matheny, Jazz Noir","Dead Country Gentleman, Wake the Dead","Reelin' in the Years, The Steely Dan Project, Tommy Igoe Groove Conspiracy ","Richard Howell and Sudden Changes, Burkina"
12/7/2016 10:21:31,"Lady GaGa, Joanne","Lindsey Stirling, Brave Enough","Banks, The Altar","Regina Spektor, Remember us to Life","Garbage, Strange Little Birds"
12/8/2016 6:53:26,"BirdeatsBaby, Tanta Furia","The Jezabels, Synthia","Bat for Lashes, The Bride","Regina Spektor, Remember us to Life","Alter Bridge, The Last Hero"
12/9/2016 15:39:40,"Tribe Called Quest, We got it from Here... Thank You 4 Your service","Sturgill Simpson, A Sailor's Guide to Earth","Drive-By Truckers, American Band","Regina Spektor, Remember Us To Life","Andrew Bird, Are You Serious?"
12/8/2016 9:05:26,"Esperanza Spalding, Emily’s D+Evolution","Deerhoof, the Magic","Emma Pollock, In Search of Harperfield","Regina Spektor, Remember Us to Life","Aesop Rock, the Impossible Kid"
12/5/2016 13:00:01,"Japanese Breakfast, Psychopomp","Mandolin Orange, Blindfaller","Kishi Bashi, Sonderlust","Regina Spektor, Remember us to Life","Deep Sea Diver, Secrets"
12/5/2016 21:55:35,"Hardly Boys, Tit Punch","Taco Cat, Lost Time","Macklemore, This Unruly Mess I've Made","Regina Spektor, Remember Us To Life","The Head And The Heart, Signs of Light"
12/5/2016 14:03:23,"Tegan and Sara, Love You To Death","The 1975, I like it when you sleep for you are so beautiful yet so unaware of it","Mudcrutch, Mudcrutch 2","Regina Spektor, Remember Us to Life","Train, Train Does Led Zeppelin IV"
12/6/2016 0:53:10,"Angel Olsen, My Woman","Radiohead, A Moon Shaped Pool","Norah Jones, Day Break","Regina Spektor, remember us to life",
12/5/2016 23:53:10,case/lang/veirs,"the flat five, its a world of love and hope","pwr bttm, ugly cherries","regina spektor, remember us to life","seratones, get gone"
12/6/2016 11:32:53,"RNDM, Ghost Riding","Switchfoot, Where the Light Shines Through","The Posies, Solid States","Regina Spektor, Remember Us to Life","Jimmy Eat World, Uncertainty Blues"
12/9/2016 4:37:54,"Kero Kero Bonito, Bonito Generation","Jamila Woods, Heavn ","Sarah Jarosz, Follow Me Down","Regina Spektor, Remember Us to Life ","Sting, 57th and 9th"
12/5/2016 15:11:41,"Lin Manuel-Miranda, Hamilton Soundtrack","Bastille, Wild World","Keaton Henson, Kindly Now","Relient K, Air for Free","Needtobreathe, HARD LOVE"
12/5/2016 20:04:46,"Needtobreathe, Hardlove","65daysofstatic, No Man's Sky: Musix for an Infinite Universe","Switchfoot, Where the Light Shines Through","Relient K, Air For Free","James Newton Howard, Fantastic Beasts and Where to Find Them"
12/7/2016 10:34:24,"Bowie, Lazarus","Tribe Called Quest, We got it from here thk u for ur service","Radiohead, Moon Shaped Pool","Rhanna, Anti","The Coathangers, Nosebleed Weekend"
12/5/2016 15:22:01,"Wormrot, Voices","Badbadnotgood, IV","Charles Bradley, Changes","Rheia, Oathbreaker","Nails, You Will Never Be One of Us"
12/11/2016 14:50:03,"Zayn Malik, Mind Of Mine","Zayn Malik, Mind of Mine ","Ariana Grande, Dangerous Woman","Rhianna, ANTI","Zayn Malik, Mind Of Mine"
12/6/2016 7:10:43,"Mitski, Puberty 2","Angel Olsen, My Woman","Beyoncé, Lemonade","Rianna, Anti","Solange, A Seat At The Table"
12/11/2016 12:03:08,"Zayn, Mind of mine","One direction, Made in the am","Drake, View","Rihana, Anti","Taylor swift, 1898"
12/11/2016 15:30:20,Zayn- Mind of mine,Drake,Zayn- Mind of Mine,Rihanna,Tua Weeknd
12/11/2016 11:06:48,ZAYN - Mind Of Mine,The Weeknd - Starboy,Beyoncé - Lemonade,Rihanna - ANTI,Ariana Grande - Dangerous Woman
12/11/2016 11:07:32,ZAYN - Mind Of Mine,The Weeknd - Starboy,Beyoncé - Lemonade,Rihanna - ANTI,Ariana Grande - Dangerous Woman
12/11/2016 11:09:32,ZAYN - Mind Of Mine,The Weeknd - Starboy,Beyoncé - Lemonade,Rihanna - ANTI,Ariana Grande - Dangerous Woman
12/11/2016 18:40:03,"Zayn, mind of mine","Fifth harmony, 7/27","drake,views","Rihanna ,anti","Bts,wings"
12/6/2016 12:35:06,"David Bowie, Blackstar","Beyoncé, Lemonade","A Tribe Called Quest, we've got it from Here...Thank You 4 Your service","Rihanna, Anti",
12/9/2016 12:22:42,"Thao & the Get Down Stay Down, A Man Alive","Beyonce, Lemonade","Anderson .Paak, Malibu","Rihanna, Anti","Chance the Rapper, Coloring Book"
12/5/2016 13:21:43,"Zayn, Mind of Mine","Banks, The Altar","Beyonce, Formation","Rihanna, Anti","Jojo, Mad Love."
12/6/2016 18:57:02,"Lady Gaga, Joanne","Adele, 25","Beyonce, Lemonade","Rihanna, Anti","Sia, This is Acting"
12/6/2016 18:52:16,"The 1975, I like it when you sleep, for you are so beautiful yet so unaware of it","Frank Ocean, Blonde","Beyonce, Lemonade","Rihanna, Anti","Chance The Rapper, Coloring Book"
12/5/2016 14:20:48,"ZAYN, Mind of Mine","Frank Ocean, Blonde","Beyoncé, Lemonade","Rihanna, ANTI",
12/7/2016 20:13:25,"Beyoncé, Lemonade","Glass Animals, How to Be a Human Being","Chance the Rapper, Coloring Book","Rihanna, Anti","Frank Ocean, Blonde"
12/5/2016 15:47:54,"ZAYN, Mind of Mine","Frank Ocean, Blonde","Chance the rapper, Coloring boom","Rihanna, Anti","Beyonce, Lemonade"
12/5/2016 14:22:27,"Zayn, Mind of Mine","Beyonce, Lemonade","Drake, Views","Rihanna, Anti","Frank Ocean, Blonde"
12/6/2016 2:51:11,"Frank Ocean, Blonde","Beyoncé, Lemonade","Drake, Views","Rihanna, Anti","Banks, The Altar"
12/6/2016 4:25:50,"Frank Ocean, Blonde","Beyoncé, Lemonade","Drake, Views","Rihanna, Anti","Banks, The Altar"
12/11/2016 10:59:08,"Zayn, Mind Of Mine","Beyoncé, Lemonade","Drake, Views","Rihanna, Anti",
12/6/2016 1:59:52,"Frank Ocean, Blonde","The Weeknd, Starboy","Kendrick Lamar, untitled unmastered","Rihanna, ANTI","Ariana Grande, Dangerous Woman"
12/11/2016 14:04:45,"ZAYN, Mind Of Mine","The Weeknd, Starboy","Lady Gaga, Joanne","Rihanna, ANTI","DNCE, DNCE"
12/11/2016 22:08:41,"Zayn, mind of mine","The Weeknd, starboy ","Lady Gaga, joanne","Rihanna, anti","Beyoncé, lemonade"
12/9/2016 16:36:23,"Bon Iver, 22, A Million","Kanye West, Life of Pablo","Radiohead, Moon Shaped Pool","Rihanna, Anti","Drake, Views"
12/5/2016 14:49:06,"Beyonce, Lemonade","Little Mix, Glory Days","Solange, A Seat At The Table","Rihanna, ANTI","Tinashe, Nightride"
12/5/2016 16:16:02,"Mothers, When You Walk A Long Distance You Are Tired","YG, Still Brazy","Låpsley, Long Way Home","River Tiber, Indigo","Bon Iver, 22 A Million"
12/9/2016 13:31:07,Bon Iver 22 A Million,Haelos Full Circle,Beth Orton Kidsticks,River Whiles We All The Light,Case/Lang/Veirs
12/9/2016 12:58:33,"Chance The Rapper, Coloring Book","Lucius, Good Grief","Frightened Rabbit, Painting of a Panic Attack","RNDM, Ghost Riding","Various Artists, The Hamilton Mixtape"
12/5/2016 13:59:01,"The Posies, Solid States","Sixx AM, Prayers for the Damned","Kix, Can't Stop the Show: The Return of Kix","Roadies, Soundtrack from the Showtime Series Roadies",
12/6/2016 13:40:33,"TUNS, S/T","John Southworth, Small Town Water Tower","David Bowie, Black Star ","Robbie Fulks, Upland Stories","Tegan and Sara, Love You To Death"
12/6/2016 13:38:19,"David Bowie, Black Star","Lucinda Williams, The Ghosts of Highway 20","Lydia Loveless, Real","Robbie Fulks, Upland Stories","Brian Eno, The Ship"
12/9/2016 17:36:29,"Childish Gambino, ""Awaken, My Love!""","BADBADNOTGOOD, IV","Koi Child, Koi Child","Robert Glasper Expirement, ArtScience","Dr. Dog, The Psychedelic Swamp"
12/11/2016 17:30:35,"Radical Face, The Family Tree: The Leaves","The Slow Show, Dream Darling","Eluvium, False Readings On","Rogue Wave, Delusions Of Grand Fur","Radiohead, A Moon Shaped Pool"
12/5/2016 13:32:37,"Beth Orton, Kidsticks","Michael Kiwanuka, Love and Hate","Big Thief, Masterpiece","Roisin Murphy, Take Her Up To Monto","Bellows, Fist & Palm"
12/6/2016 7:31:18,"The Posies, Solid States","David Bowie, Blackstar","Tingsek, Amygdala ","Roisin Murphy, Take her up to Monto","Radiohead, moon shaped pool"
12/5/2016 12:43:07,"Sarah Jarosz, Undercurrent","Anders Osborne, Flower Box","Tedeschi Trucks Band, Let Me Get By","Rokia Traore, Ne So","Aoife O'Donovan, In the Magic Hour"
12/5/2016 14:01:38,"David bowie, blackstar",Radio head moon shaped pool,Paul simon,Rolling Stones blue and something ,Sturgis simpson
12/5/2016 23:54:28,"David Bowie, ★","Jeff Beck, Loud Hailer","Iggy Pop, Post Pop Depression","Rolling Stones, Blue & Lonesome","Leonard Cohen, You Want It Darker"
12/9/2016 13:00:12,"David Bowie, Black Star","The Last Shadow Puppets, Everything You've Come to Expect","Mudcrutch, 2","Rolling Stones, blue & Lonesome",
12/7/2016 18:07:14,"Neil Young, Peace Trail","Peter Wolf, A Cure for Loneliness","Nick Cave and The Bad Seeds,Skeleton Tree","Rolling Stones,Blue and Lonesome","Leonard Cohen, You Want It Darker"
12/5/2016 19:40:47,"Danny Brown, Atrocity Exhibition","Autechre, Elseq 1-5","Show Me The Body, Body War","Roly Porter, Third Law","Radiohead, A Moon Shaped Pool"
12/10/2016 13:44:13,"Max Frankl Quartet, Live in Munich","Tori Freestone Trio, El Barranco","Pablo Held Trio, Lineage","Ronny Graupe, the White Belt","Dejan Terzic, Axiom"
12/5/2016 16:15:11,"Solange, A Seat At The Table","Frank Ocean, Blonde","Blood Orange, Freetown Sound","Rüfüs Du Sol, Bloom","James Blake, The Colour In Anything"
